 absence , presence  
 presence , absence  
 accept , refuse  
 refuse , accept  
 accurate , inaccurate  
 inaccurate , accurate  
 advantage , disadvantage  
 disadvantage , advantage  
 alive , dead  
 dead , alive  
 always , never  
 never , always  
 ancient , modern  
 modern , ancient  
 answer , question  
 question , answer  
 answer , query  
 query , answer  
 approval , disapproval  
 disapproval , approval  
 approached , receded  
 receded , approached  
 approached , departed  
 departed , approached  
 abundant , scarce  
 scarce , abundant  
 admit , deny  
 deny , admit  
 advance , retreat  
 retreat , advance  
 advance , retire  
 retire , advance  
 artificial , natural  
 natural , artificial  
 arrival , departure  
 departure , arrival  
 ascend , descend  
 descend , ascend  
 attack , defense  
 defense , attack  
 attractive , repulsive  
 repulsive , attractive  
 attention , inattention  
 inattention , attention  
 asleep , awake  
 awake , asleep  
 ally , enemy  
 enemy , ally  
 agree , disagree  
 disagree , agree  
 bad , good  
 good , bad  
 backward , forward  
 forward , backward  
 backward , onward  
 onward , backward  
 bend , straighten  
 straighten , bend  
 beautiful , ugly  
 ugly , beautiful  
 beginning , ending  
 ending , beginning  
 below , above  
 above , below  
 bent , straight  
 straight , bent  
 big , small  
 small , big  
 big , little  
 little , big  
 blunt , sharp  
 sharp , blunt  
 better , worse  
 worse , better  
 best , worst  
 worst , best  
 blame , praise  
 praise , blame  
 bless , curse  
 curse , bless  
 bitter , sweet  
 sweet , bitter  
 borrow , lend  
 lend , borrow  
 bravery , cowardice  
 cowardice , bravery  
 build , destroy  
 destroy , build  
 build , demolish  
 demolish , build  
 bold , timid  
 timid , bold  
 bold , meek  
 meek , bold  
 bright , dull  
 dull , bright  
 broad , narrow  
 narrow , broad  
 clear , vague  
 vague , clear  
 clear , cloudy  
 cloudy , clear  
 careful , rush  
 rush , careful  
 careful , careless  
 careless , careful  
 calm , troubled  
 troubled , calm  
 capable , incapable  
 incapable , capable  
 captivity , freedom  
 freedom , captivity  
 captivity , liberty  
 liberty , captivity  
 cellar , attic  
 attic , cellar  
 cheap , dear  
 dear , cheap  
 cheap , expensive  
 expensive , cheap  
 close , distant  
 distant , close  
 clever , stupid  
 stupid , clever  
 cold , hot  
 hot , cold  
 combine , separate  
 separate , combine  
 clockwise , anti-clockwise  
 anti-clockwise , clockwise  
 correct , incorrect  
 incorrect , correct  
 conceal , reveal  
 reveal , conceal  
 come , go  
 go , come  
 common , rare  
 rare , common  
 comfort , discomfort  
 discomfort , comfort  
 courage , cowardice  
 cowardice , courage  
 cruel , kind  
 kind , cruel  
 courteous , discourteous  
 discourteous , courteous  
 courteous , rude  
 rude , courteous  
 cunning , simple  
 simple , cunning  
 dainty , clumsy  
 clumsy , dainty  
 danger , safety  
 safety , danger  
 dark , light  
 light , dark  
 deep , shallow  
 shallow , deep  
 decrease , increase  
 increase , decrease  
 definite , indefinite  
 indefinite , definite  
 demand , supply  
 supply , demand  
 despair , hope  
 hope , despair  
 disappear , appear  
 appear , disappear  
 disease , health  
 health , disease  
 discourage , encourage  
 encourage , discourage  
 dismal , cheerful  
 cheerful , dismal  
 doctor , patient  
 patient , doctor  
 dry , wet  
 wet , dry  
 dull , clear  
 clear , dull  
 dull , bright  
 bright , dull  
 dusk , dawn  
 dawn , dusk  
 early , late  
 late , early  
 easy , difficult  
 difficult , easy  
 ebb , flow  
 flow , ebb  
 East , West  
 West , East  
 economise , waste  
 waste , economise  
 encourage , discourage  
 discourage , encourage  
 entrance , exit  
 exit , entrance  
 employer , employee  
 employee , employer  
 empty , full  
 full , empty  
 excited , calm  
 calm , excited  
 end , beginning  
 beginning , end  
 expand , contract  
 contract , expand  
 expensive , inexpensive  
 inexpensive , expensive  
 expensive , cheap  
 cheap , expensive  
 export , import  
 import , export  
 exterior , interior  
 interior , exterior  
 external , internal  
 internal , external  
 fail , succeed  
 succeed , fail  
 false , true  
 true , false  
 feeble , sturdy  
 sturdy , feeble  
 feeble , strong  
 strong , feeble  
 feeble , powerful  
 powerful , feeble  
 foolish , wise  
 wise , foolish  
 fast , slow  
 slow , fast  
 few , many  
 many , few  
 famous , unknown  
 unknown , famous  
 forelegs , hind legs  
 hind legs , forelegs  
 fat , thin  
 thin , fat  
 find , lose  
 lose , find  
 first , last  
 last , first  
 freedom , captivity  
 captivity , freedom  
 fold , unfold  
 unfold , fold  
 frequent , seldom  
 seldom , frequent  
 forget , remember  
 remember , forget  
 found , lost  
 lost , found  
 fresh , stale  
 stale , fresh  
 friend , enemy  
 enemy , friend  
 fortunate , unfortunate  
 unfortunate , fortunate  
 frank , secretive  
 secretive , frank  
 full , empty  
 empty , full  
 generous , mean  
 mean , generous  
 gentle , rough  
 rough , gentle  
 gather , distribute  
 distribute , gather  
 glad , sorry  
 sorry , glad  
 gloomy , cheerful  
 cheerful , gloomy  
 giant , dwarf  
 dwarf , giant  
 giant , pygmy  
 pygmy , giant  
 granted , refused  
 refused , granted  
 great , minute  
 minute , great  
 great , small  
 small , great  
 great , little  
 little , great  
 guardian , ward  
 ward , guardian  
 guest , host  
 host , guest  
 guilty , innocent  
 innocent , guilty  
 happy , sad  
 sad , happy  
 happy , miserable  
 miserable , happy  
 hard , soft  
 soft , hard  
 harmful , harmless  
 harmless , harmful  
 hasten , dawdle  
 dawdle , hasten  
 hate , love  
 love , hate  
 healthy , unhealthy  
 unhealthy , healthy  
 healthy , ill  
 ill , healthy  
 healthy , diseased  
 diseased , healthy  
 here , there  
 there , here  
 heavy , light  
 light , heavy  
 height , depth  
 depth , height  
 hero , coward  
 coward , hero  
 hill , valley  
 valley , hill  
 horizontal , vertical  
 vertical , horizontal  
 hinder , aid  
 aid , hinder  
 hinder , help  
 help , hinder  
 honest , dishonest  
 dishonest , honest  
 humble , proud  
 proud , humble  
 hunger , thirst  
 thirst , hunger  
 imitation , genuine  
 genuine , imitation  
 immense , tiny  
 tiny , immense  
 immense , minute  
 minute , immense  
 imprison , free  
 free , imprison  
 include , exclude  
 exclude , include  
 increase , decrease  
 decrease , increase  
 inhabited , uninhabited  
 uninhabited , inhabited  
 inferior , superior  
 superior , inferior  
 inside , outside  
 outside , inside  
 intelligent , unintelligent  
 unintelligent , intelligent  
 intelligent , stupid  
 stupid , intelligent  
 inhale , exhale  
 exhale , inhale  
 interior , exterior  
 exterior , interior  
 interior , outside  
 outside , interior  
 interesting  ,   
  , interesting   
 internal , external  
 external , internal  
 intentional , accidental  
 accidental , intentional  
 join , separate  
 separate , join  
 junior , senior  
 senior , junior  
 justice , injustice  
 injustice , justice  
 king , subject  
 subject , king  
 knowledge , ignorance  
 ignorance , knowledge  
 laugh , cry  
 cry , laugh  
 lawful , unlawful  
 unlawful , lawful  
 lazy , industrious  
 industrious , lazy  
 lazy , energetic  
 energetic , lazy  
 land , sea  
 sea , land  
 landlord , tenant  
 tenant , landlord  
 large , little  
 little , large  
 large , small  
 small , large  
 last , first  
 first , last  
 lawyer , client  
 client , lawyer  
 lecturer , student  
 student , lecturer  
 lender , borrower  
 borrower , lender  
 lengthen , shorten  
 shorten , lengthen  
 left , right  
 right , left  
 less , more  
 more , less  
 light , dark  
 dark , light  
 light , heavy  
 heavy , light  
 like , dislike  
 dislike , like  
 like , unlike  
 unlike , like  
 likely , unlikely  
 unlikely , likely  
 leader , follower  
 follower , leader  
 little , large  
 large , little  
 little , much  
 much , little  
 little , big  
 big , little  
 lofty , lowly  
 lowly , lofty  
 long , short  
 short , long  
 loud , soft  
 soft , loud  
 loss , find  
 find , loss  
 loss , win  
 win , loss  
 low , high  
 high , low  
 loyal , disloyal  
 disloyal , loyal  
 mad , sane  
 sane , mad  
 magnetize , demagnetize  
 demagnetize , magnetize  
 master , servant  
 servant , master  
 mature , immature  
 immature , mature  
 maximum , minimum  
 minimum , maximum  
 me , you  
 you , me  
 merry , mirthless  
 mirthless , merry  
 merry , sad  
 sad , merry  
 minority , majority  
 majority , minority  
 miser , spendthrift  
 spendthrift , miser  
 misunderstand , understand  
 understand , misunderstand  
 narrow , wide  
 wide , narrow  
 near , far  
 far , near  
 near , distant  
 distant , near  
 neat , untidy  
 untidy , neat  
 new , old  
 old , new  
 night , day  
 day , night  
 noisy , quiet  
 quiet , noisy  
 North , South  
 South , North  
 obedient , disobedient  
 disobedient , obedient  
 odd , even  
 even , odd  
 offer , refuse  
 refuse , offer  
 open , shut  
 shut , open  
 optimist , pessimist  
 pessimist , optimist  
 out , in  
 in , out  
 parent , child  
 child , parent  
 past , present  
 present , past  
 patient , impatient  
 impatient , patient  
 peace , war  
 war , peace  
 permanent , temporary  
 temporary , permanent  
 please , displease  
 displease , please  
 plentiful , scarce  
 scarce , plentiful  
 poetry , prose  
 prose , poetry  
 possible , impossible  
 impossible , possible  
 poverty , wealth  
 wealth , poverty  
 powerful , feeble  
 feeble , powerful  
 powerful , weak  
 weak , powerful  
 polite , impolite  
 impolite , polite  
 polite , rude  
 rude , polite  
 private , public  
 public , private  
 prudent , imprudent  
 imprudent , prudent  
 pretty , unsightly  
 unsightly , pretty  
 pretty , ugly  
 ugly , pretty  
 pure , impure  
 impure , pure  
 qualified , unqualified  
 unqualified , qualified  
 rapid , slow  
 slow , rapid  
 regularly , irregularly  
 irregularly , regularly  
 rich , poor  
 poor , rich  
 right , wrong  
 wrong , right  
 right , left  
 left , right  
 rigid , pliable  
 pliable , rigid  
 rigid , soft  
 soft , rigid  
 rough , smooth  
 smooth , rough  
 satisfactory , unsatisfactory  
 unsatisfactory , satisfactory  
 security , insecurity  
 insecurity , security  
 scatter , collect  
 collect , scatter  
 serious , trivial  
 trivial , serious  
 second-hand , new  
 new , second-hand  
 sense , nonsense  
 nonsense , sense  
 shopkeeper , customer  
 customer , shopkeeper  
 singular , plural  
 plural , singular  
 simple , complicated  
 complicated , simple  
 slim , thick  
 thick , slim  
 slim , stout  
 stout , slim  
 solid , liquid  
 liquid , solid  
 sober , drunk  
 drunk , sober  
 speaker , listener  
 listener , speaker  
 sour , sweet  
 sweet , sour  
 sorrow , joy  
 joy , sorrow  
 sow , reap  
 reap , sow  
 stand , lie  
 lie , stand  
 straight , crooked  
 crooked , straight  
 strong , weak  
 weak , strong  
 success , failure  
 failure , success  
 sunny , cloudy  
 cloudy , sunny  
 take , give  
 give , take  
 tall , short  
 short , tall  
 tame , wild  
 wild , tame  
 teacher , pupil  
 pupil , teacher  
 thick , thin  
 thin , thick  
 tight , slack  
 slack , tight  
 tight , loose  
 loose , tight  
 top , bottom  
 bottom , top  
 transparent , opaque  
 opaque , transparent  
 truth , untruth  
 untruth , truth  
 truth , lie  
 lie , truth  
 up , down  
 down , up  
 vacant , occupied  
 occupied , vacant  
 valuable , valueless  
 valueless , valuable  
 victory , defeat  
 defeat , victory  
 virtue , vice  
 vice , virtue  
 visible , invisible  
 invisible , visible  
 voluntary , compulsory  
 compulsory , voluntary  
 vowel , consonant  
 consonant , vowel  
 wax , wane  
 wane , wax  
 wisdom , folly  
 folly , wisdom  
 within , without  
 without , within  
